Wavelength (nm),Spectral irradiance (W m-2 nm-1),Cumulative photon flux (cm-2 s-1)
1034,0.67775,2.49162E+17
1035,0.67975,2.49516E+17
1036,0.679125,2.4987E+17
1037,0.6735,2.50221E+17
1038,0.670875,2.50572E+17
1039,0.673,2.50924E+17
1040,0.6705,2.51274E+17
1041,0.67,2.51625E+17
1042,0.669125,2.51976E+17
1043,0.66425,2.52325E+17
1044,0.66525,2.52674E+17
1045,0.661125,2.53022E+17
1046,0.6485,2.53363E+17
1047,0.6545,2.53708E+17
1048,0.65975,2.54055E+17
1049,0.657,2.54402E+17
1050,0.6535,2.54747E+17
1051,0.6525,2.55092E+17
1052,0.64925,2.55436E+17
1053,0.647,2.55779E+17
1054,0.6455,2.56121E+17
1055,0.6465,2.56464E+17
1056,0.645,2.56807E+17
1057,0.642375,2.57149E+17
1058,0.6345,2.57486E+17
1059,0.6215,2.57817E+17
1060,0.63,2.58153E+17
1061,0.622375,2.58486E+17
1062,0.62825,2.58821E+17
1063,0.623375,2.59155E+17
1064,0.6285,2.59491E+17
1065,0.625875,2.59826E+17
1066,0.617,2.60157E+17
1067,0.618375,2.60489E+17
1068,0.614,2.60819E+17
1069,0.591375,2.61137E+17
1070,0.60225,2.61461E+17
1071,0.613375,2.61792E+17
1072,0.612625,2.62122E+17
1073,0.60575,2.62449E+17
1074,0.614125,2.62781E+17
1075,0.597375,2.63104E+17
1076,0.609,2.63434E+17
1077,0.604125,2.63761E+17
1078,0.60225,2.64088E+17
1079,0.602,2.64415E+17
1080,0.59475,2.64738E+17
1081,0.58225,2.65054E+17
1082,0.587875,2.65374E+17
1083,0.592625,2.65697E+17
1084,0.58125,2.66014E+17
1085,0.58525,2.66334E+17
1086,0.559375,2.66639E+17
1087,0.56675,2.66949E+17
1088,0.586125,2.6727E+17
1089,0.576625,2.67586E+17
1090,0.561125,2.67894E+17
1091,0.582,2.68213E+17
1092,0.572,2.68528E+17
1093,0.5215,2.68814E+17
1094,0.532,2.69107E+17
1095,0.51925,2.69393E+17
1096,0.5135,2.69676E+17
1097,0.55825,2.69984E+17
1098,0.511875,2.70267E+17
1099,0.50275,2.70545E+17
1100,0.48825,2.70815E+17
1101,0.491,2.71087E+17
1102,0.471125,2.71349E+17
1103,0.4655,2.71607E+17
1104,0.47075,2.71868E+17
1105,0.486625,2.72139E+17
1106,0.421125,2.72373E+17
1107,0.462875,2.72631E+17
1108,0.42225,2.72866E+17
1109,0.4205,2.73101E+17
1110,0.451375,2.73353E+17
1111,0.3595,2.73554E+17
1112,0.383875,2.73769E+17
1113,0.289875,2.73931E+17
1114,0.288875,2.74093E+17
1115,0.24925,2.74233E+17
1116,0.1918,2.7434E+17
1117,0.1118,2.74403E+17
1118,0.1868,2.74508E+17
1119,0.129625,2.74581E+17
1120,0.14375,2.74662E+17
1121,0.166675,2.74756E+17
1122,0.100175,2.74813E+17
1123,0.119675,2.7488E+17
1124,0.115,2.74946E+17
1125,0.127925,2.75018E+17
1126,0.076175,2.75061E+17
1127,0.1365375,2.75138E+17
1128,0.10705,2.75199E+17
1129,0.1006625,2.75256E+17
1130,0.102925,2.75315E+17
1131,0.259175,2.75462E+17
1132,0.23075,2.75594E+17
1133,0.149075,2.75679E+17
1134,0.05225,2.75709E+17
1135,0.03275,2.75727E+17
1136,0.1338,2.75804E+17
1137,0.256625,2.75951E+17
1138,0.225375,2.7608E+17
1139,0.28075,2.7624E+17
1140,0.252625,2.76385E+17
1141,0.204625,2.76503E+17
1142,0.231,2.76636E+17
1143,0.275375,2.76794E+17
1144,0.141875,2.76876E+17
1145,0.14325,2.76958E+17
1146,0.143375,2.77041E+17
1147,0.097625,2.77097E+17
1148,0.237125,2.77234E+17
1149,0.212375,2.77357E+17
1150,0.143375,2.7744E+17
1151,0.19825,2.77555E+17
1152,0.24025,2.77694E+17
1153,0.226375,2.77825E+17
1154,0.175125,2.77927E+17
1155,0.28675,2.78093E+17
1156,0.28825,2.78261E+17
1157,0.309375,2.78441E+17
1158,0.3145,2.78624E+17
1159,0.326625,2.78815E+17
1160,0.299875,2.7899E+17
1161,0.339625,2.79188E+17
1162,0.3635,2.79401E+17
1163,0.444,2.7966E+17
1164,0.407625,2.79899E+17
1165,0.387875,2.80127E+17
1166,0.380125,2.8035E+17
1167,0.40575,2.80588E+17
1168,0.417375,2.80833E+17
1169,0.425875,2.81083E+17
1170,0.451375,2.81349E+17
1171,0.449125,2.81614E+17
1172,0.45325,2.81881E+17
1173,0.44,2.82141E+17
1174,0.36525,2.82356E+17
1175,0.439625,2.82616E+17
1176,0.4715,2.82895E+17
1177,0.4575,2.83166E+17
1178,0.388375,2.83396E+17
1179,0.46125,2.8367E+17
1180,0.44625,2.83935E+17
1181,0.435625,2.84194E+17
1182,0.352875,2.84403E+17
1183,0.420375,2.84654E+17
1184,0.419625,2.84904E+17
1185,0.416375,2.85152E+17
1186,0.4645,2.85429E+17
1187,0.44175,2.85693E+17
1188,0.359125,2.85907E+17
1189,0.410625,2.86153E+17
1190,0.45325,2.86424E+17
1191,0.450375,2.86694E+17
1192,0.46625,2.86974E+17
1193,0.45725,2.87248E+17
1194,0.463375,2.87527E+17
1195,0.44675,2.87795E+17
1196,0.43775,2.88059E+17
1197,0.464875,2.88339E+17
1198,0.42975,2.88598E+17
1199,0.383,2.88829E+17
1200,0.43525,2.89091E+17
1201,0.437375,2.89356E+17
1202,0.435625,2.89619E+17
1203,0.424375,2.89876E+17
1204,0.379375,2.90106E+17
1205,0.432125,2.90368E+17
1206,0.468125,2.90652E+17
1207,0.43575,2.90916E+17
1208,0.42925,2.91177E+17
1209,0.42025,2.91433E+17
1210,0.44325,2.91703E+17
1211,0.42525,2.91962E+17
1212,0.429125,2.92224E+17
1213,0.458125,2.92503E+17
1214,0.436625,2.9277E+17
1215,0.4325,2.93034E+17
1216,0.458875,2.93315E+17
1217,0.455875,2.93594E+17
1218,0.455875,2.93873E+17
1219,0.448125,2.94148E+17
1220,0.456375,2.94428E+17
1221,0.461375,2.94712E+17
1222,0.450875,2.94989E+17
1223,0.444375,2.95262E+17
1224,0.44825,2.95538E+17
1225,0.46,2.95822E+17
1226,0.461875,2.96107E+17
1227,0.4405,2.96379E+17
1228,0.461,2.96663E+17
1229,0.465,2.96951E+17
1230,0.461375,2.97236E+17
1231,0.46875,2.97527E+17
1232,0.46425,2.97815E+17
1233,0.4565,2.98098E+17
1234,0.466375,2.98387E+17
1235,0.465125,2.98676E+17
1236,0.46675,2.98966E+17
1237,0.463375,2.99255E+17
1238,0.465625,2.99545E+17
1239,0.4615,2.99833E+17
1240,0.4595,3.00119E+17
1241,0.46075,3.00407E+17
1242,0.460375,3.00695E+17
1243,0.456375,3.0098E+17
1244,0.454375,3.01264E+17
1245,0.45525,3.01549E+17
1246,0.457375,3.01836E+17
1247,0.456375,3.02122E+17
1248,0.457,3.02409E+17
1249,0.457625,3.02697E+17
1250,0.455625,3.02983E+17
1251,0.4515,3.03268E+17
1252,0.449625,3.03551E+17
1253,0.446,3.03832E+17
1254,0.443375,3.04112E+17
1255,0.446875,3.04394E+17
1256,0.439625,3.04672E+17
1257,0.435875,3.04947E+17
1258,0.4405,3.05226E+17
1259,0.42875,3.05498E+17
1260,0.427,3.05768E+17
1261,0.410625,3.06029E+17
1262,0.397375,3.06281E+17
1263,0.394875,3.06532E+17
1264,0.37675,3.06772E+17
1265,0.3905,3.0702E+17
1266,0.38575,3.07266E+17
1267,0.384375,3.07511E+17
1268,0.355875,3.07738E+17
1269,0.278875,3.07916E+17
1270,0.371125,3.08153E+17
1271,0.4045,3.08412E+17
1272,0.4075,3.08673E+17
1273,0.405375,3.08932E+17
1274,0.40575,3.09192E+17
1275,0.410875,3.09456E+17
1276,0.41575,3.09723E+17
1277,0.4195,3.09992E+17
1278,0.42475,3.10265E+17
1279,0.423125,3.10538E+17
1280,0.420125,3.10808E+17
1281,0.408125,3.11071E+17
1282,0.38125,3.11317E+17
1283,0.4035,3.11577E+17
1284,0.418625,3.11848E+17
1285,0.423,3.12121E+17
1286,0.425,3.12396E+17
1287,0.421375,3.12669E+17
1288,0.417875,3.1294E+17
1289,0.409875,3.13206E+17
1290,0.412125,3.13473E+17
1291,0.413625,3.13742E+17
1292,0.39975,3.14002E+17
1293,0.408,3.14267E+17
1294,0.404125,3.1453E+17
1295,0.401875,3.14792E+17
1296,0.38775,3.15045E+17
1297,0.374875,3.15289E+17
1298,0.390375,3.15544E+17
1299,0.398125,3.15805E+17
1300,0.36,3.1604E+17
1301,0.363625,3.16278E+17
1302,0.3815,3.16528E+17
1303,0.345125,3.16754E+17
1304,0.316,3.16961E+17
1305,0.372625,3.17206E+17
1306,0.37325,3.17451E+17
1307,0.319875,3.17662E+17
1308,0.3455,3.17889E+17
1309,0.368,3.18131E+17
1310,0.3145,3.18339E+17
1311,0.32875,3.18556E+17
1312,0.32975,3.18773E+17
1313,0.31225,3.18979E+17
1314,0.29075,3.19172E+17
1315,0.290125,3.19364E+17
1316,0.31675,3.19573E+17
1317,0.315125,3.19782E+17
1318,0.321375,3.19995E+17
1319,0.27475,3.20178E+17
1320,0.26425,3.20353E+17
1321,0.293375,3.20548E+17
1322,0.292,3.20742E+17
1323,0.244375,3.20905E+17
1324,0.265625,3.21082E+17
1325,0.3085,3.21287E+17
1326,0.283375,3.21476E+17
1327,0.26375,3.21653E+17
1328,0.230875,3.21807E+17
1329,0.190625,3.21934E+17
1330,0.211875,3.22076E+17
1331,0.15475,3.2218E+17
1332,0.152125,3.22282E+17
1333,0.1915,3.2241E+17
1334,0.181,3.22532E+17
1335,0.21725,3.22677E+17
1336,0.186625,3.22803E+17
1337,0.168125,3.22916E+17
1338,0.176,3.23034E+17
1339,0.17525,3.23152E+17
1340,0.16925,3.23267E+17
1341,0.17075,3.23382E+17
1342,0.170625,3.23497E+17
1343,0.126925,3.23583E+17
1344,0.08605,3.23641E+17
1345,0.098425,3.23708E+17
1346,0.0646125,3.23751E+17
1347,0.0527625,3.23787E+17
1348,0.013025,3.23796E+17
1349,0.0146625,3.23806E+17
1350,0.0145875,3.23816E+17
1351,0.0056375,3.2382E+17
1352,0.0017125,3.23821E+17
1353,0.0003,3.23821E+17
1354,0.0002375,3.23821E+17
1355,0.0000375,3.23821E+17
1356,0.0000125,3.23821E+17
1357,0.000075,3.23821E+17
1358,0.0000125,3.23821E+17
1359,0,3.23821E+17
1360,0,3.23821E+17
1361,0,3.23821E+17
1362,0,3.23821E+17
1363,0,3.23821E+17
1364,0,3.23821E+17
1365,0,3.23821E+17
1366,0,3.23821E+17
1367,0,3.23821E+17
1368,0,3.23821E+17
1369,0,3.23821E+17
1370,0,3.23821E+17
1371,0,3.23821E+17
1372,0,3.23821E+17
1373,0.000025,3.23821E+17
1374,0.0001875,3.23821E+17
1375,0.0002875,3.23822E+17
1376,0.000275,3.23822E+17
1377,0.00025,3.23822E+17
1378,0.00085,3.23822E+17
1379,0.000225,3.23823E+17
1380,0.0000875,3.23823E+17
1381,0.0000125,3.23823E+17
1382,0,3.23823E+17
1383,0,3.23823E+17
1384,0,3.23823E+17
1385,0,3.23823E+17
1386,0.000025,3.23823E+17
1387,0.00015,3.23823E+17
1388,0.0001,3.23823E+17
1389,0.0005125,3.23823E+17
1390,0.0004875,3.23824E+17
1391,0.0002875,3.23824E+17
1392,0.00005,3.23824E+17
1393,0.0000875,3.23824E+17
1394,0.0000875,3.23824E+17
1395,0.0000125,3.23824E+17
1396,0,3.23824E+17
1397,0.0001625,3.23824E+17
1398,0.001075,3.23825E+17
1399,0.0007625,3.23825E+17
1400,0.0001,3.23825E+17
1401,0.000225,3.23826E+17
1402,0.00165,3.23827E+17
1403,0.0021125,3.23828E+17
1404,0.000825,3.23829E+17
1405,0.0003375,3.23829E+17
1406,0.001525,3.2383E+17
1407,0.0006,3.23831E+17
1408,0.0013,3.23831E+17
1409,0.0007125,3.23832E+17
1410,0.0007125,3.23833E+17
1411,0.0019625,3.23834E+17
1412,0.005125,3.23838E+17
1413,0.01785,3.2385E+17
1414,0.0032375,3.23853E+17
1415,0.0046375,3.23856E+17
1416,0.0281125,3.23876E+17
1417,0.0149,3.23886E+17
1418,0.01185,3.23895E+17
1419,0.0042875,3.23898E+17
1420,0.00755,3.23903E+17
1421,0.013625,3.23913E+17
1422,0.0369375,3.2394E+17
1423,0.0147875,3.2395E+17
1424,0.01705,3.23962E+17
1425,0.024925,3.2398E+17
1426,0.030175,3.24002E+17
1427,0.041075,3.24031E+17
1428,0.0142875,3.24042E+17
1429,0.0366625,3.24068E+17
1430,0.0570375,3.24109E+17
1431,0.0454875,3.24142E+17
1432,0.0125875,3.24151E+17
1433,0.0297,3.24172E+17
1434,0.0228125,3.24189E+17
1435,0.0234375,3.24206E+17
1436,0.03505,3.24231E+17
1437,0.028775,3.24252E+17
1438,0.0199875,3.24266E+17
1439,0.0447625,3.24299E+17
1440,0.03995,3.24328E+17
1441,0.0332375,3.24352E+17
1442,0.036725,3.24378E+17
1443,0.0459,3.24412E+17
1444,0.0580125,3.24454E+17
1445,0.047775,3.24488E+17
1446,0.0279625,3.24509E+17
1447,0.044325,3.24541E+17
1448,0.1035125,3.24617E+17
1449,0.0942875,3.24685E+17
1450,0.034625,3.24711E+17
1451,0.0195875,3.24725E+17
1452,0.0582625,3.24767E+17
1453,0.086175,3.2483E+17
1454,0.1212125,3.24919E+17
1455,0.0776625,3.24976E+17
1456,0.0891,3.25041E+17
1457,0.1157875,3.25126E+17
1458,0.137,3.25227E+17
1459,0.1499,3.25337E+17
1460,0.095525,3.25407E+17
1461,0.0944,3.25476E+17
1462,0.1141375,3.2556E+17
1463,0.06745,3.2561E+17
1464,0.130275,3.25706E+17
1465,0.096825,3.25777E+17
1466,0.064875,3.25825E+17
1467,0.0446375,3.25858E+17
1468,0.0738375,3.25912E+17
1469,0.086725,3.25976E+17
1470,0.051175,3.26014E+17
1471,0.0253625,3.26033E+17
1472,0.045925,3.26067E+17
1473,0.0704625,3.26119E+17
1474,0.104575,3.26197E+17
1475,0.1587125,3.26315E+17
1476,0.0831375,3.26376E+17
1477,0.0686125,3.26427E+17
1478,0.0711625,3.2648E+17
1479,0.105475,3.26559E+17
1480,0.07475,3.26614E+17
1481,0.1011,3.2669E+17
1482,0.0766,3.26747E+17
1483,0.1354125,3.26848E+17
1484,0.136875,3.2695E+17
1485,0.12625,3.27044E+17
1486,0.1154375,3.27131E+17
1487,0.0724875,3.27185E+17
1488,0.1016125,3.27261E+17
1489,0.1752375,3.27392E+17
1490,0.17875,3.27526E+17
1491,0.19,3.27669E+17
1492,0.17025,3.27797E+17
1493,0.181625,3.27933E+17
1494,0.197625,3.28082E+17
1495,0.182875,3.28219E+17
1496,0.17725,3.28352E+17
1497,0.215625,3.28515E+17
1498,0.197375,3.28664E+17
1499,0.217625,3.28828E+17
1500,0.24775,3.29015E+17
1501,0.259125,3.2921E+17
1502,0.230875,3.29385E+17
1503,0.187125,3.29526E+17
1504,0.166,3.29652E+17
1505,0.190125,3.29796E+17
1506,0.2475,3.29983E+17
1507,0.252875,3.30175E+17
1508,0.2365,3.30355E+17
1509,0.2035,3.30509E+17
1510,0.25875,3.30706E+17
1511,0.26425,3.30907E+17
1512,0.25825,3.31103E+17
1513,0.242125,3.31287E+17
1514,0.232125,3.31464E+17
1515,0.258875,3.31661E+17
1516,0.25625,3.31857E+17
1517,0.250125,3.32048E+17
1518,0.249875,3.32239E+17
1519,0.247375,3.32428E+17
1520,0.26275,3.32629E+17
1521,0.271375,3.32836E+17
1522,0.266375,3.3304E+17
1523,0.2765,3.33252E+17
1524,0.273375,3.33462E+17
1525,0.26125,3.33662E+17
1526,0.265125,3.33866E+17
1527,0.264,3.34068E+17
1528,0.275875,3.3428E+17
1529,0.27075,3.34489E+17
1530,0.258875,3.34688E+17
1531,0.268375,3.34895E+17
1532,0.276625,3.35108E+17
1533,0.27525,3.3532E+17
1534,0.26875,3.35528E+17
1535,0.26725,3.35734E+17
1536,0.272875,3.35945E+17
1537,0.272875,3.36156E+17
1538,0.271375,3.36366E+17
1539,0.270875,3.36576E+17
1540,0.2655,3.36781E+17
1541,0.267625,3.36989E+17
1542,0.269125,3.37198E+17
1543,0.27075,3.37408E+17
1544,0.271625,3.37619E+17
1545,0.275125,3.37833E+17
1546,0.274,3.38046E+17
1547,0.2715,3.38257E+17
1548,0.267625,3.38465E+17
1549,0.271625,3.38677E+17
1550,0.269625,3.38887E+17
1551,0.27,3.39098E+17
1552,0.270875,3.3931E+17
1553,0.270125,3.39521E+17
1554,0.26525,3.39728E+17
1555,0.266,3.39936E+17
1556,0.263625,3.40142E+17
1557,0.26875,3.40353E+17
1558,0.268125,3.40563E+17
1559,0.266875,3.40772E+17
1560,0.26575,3.40981E+17
1561,0.26825,3.41192E+17
1562,0.267125,3.41402E+17
1563,0.265625,3.41611E+17
1564,0.263125,3.41818E+17
1565,0.26575,3.42027E+17
1566,0.262625,3.42234E+17
1567,0.261375,3.4244E+17
1568,0.25725,3.42643E+17
1569,0.25275,3.42842E+17
1570,0.24175,3.43033E+17
1571,0.23525,3.43219E+17
1572,0.236125,3.43406E+17
1573,0.2345,3.43591E+17
1574,0.23975,3.43781E+17
1575,0.240125,3.43972E+17
1576,0.24125,3.44163E+17
1577,0.221375,3.44338E+17
1578,0.232625,3.44523E+17
1579,0.236875,3.44711E+17
1580,0.2435,3.44905E+17
1581,0.246625,3.45101E+17
1582,0.242625,3.45294E+17
1583,0.246375,3.4549E+17
1584,0.249125,3.45689E+17
1585,0.256375,3.45893E+17
1586,0.255,3.46097E+17
1587,0.252125,3.46298E+17
1588,0.248,3.46496E+17
1589,0.235375,3.46684E+17
1590,0.239875,3.46876E+17
1591,0.242375,3.4707E+17
1592,0.251375,3.47272E+17
1593,0.257,3.47478E+17
1594,0.2565,3.47683E+17
1595,0.256,3.47889E+17
1596,0.246,3.48086E+17
1597,0.24675,3.48284E+17
1598,0.251375,3.48487E+17
1599,0.242125,3.48681E+17
1600,0.23575,3.48871E+17
1601,0.224875,3.49052E+17
1602,0.22375,3.49233E+17
1603,0.22375,3.49413E+17
1604,0.228375,3.49597E+17
1605,0.235625,3.49788E+17
1606,0.23925,3.49981E+17
1607,0.23275,3.50169E+17
1608,0.229125,3.50354E+17
1609,0.226,3.50537E+17
1610,0.219375,3.50715E+17
1611,0.225375,3.50898E+17
1612,0.230375,3.51085E+17
1613,0.23625,3.51276E+17
1614,0.238125,3.5147E+17
1615,0.2385,3.51663E+17
1616,0.23175,3.51852E+17
1617,0.234625,3.52043E+17
1618,0.2415,3.52239E+17
1619,0.239625,3.52434E+17
1620,0.23475,3.52626E+17
1621,0.234375,3.52817E+17
1622,0.23725,3.53011E+17
1623,0.241375,3.53208E+17
1624,0.241375,3.53405E+17
1625,0.237875,3.53599E+17
1626,0.238875,3.53795E+17
1627,0.24,3.53991E+17
1628,0.240875,3.54188E+17
1629,0.240375,3.54385E+17
1630,0.23675,3.5458E+17
1631,0.237,3.54774E+17
1632,0.237125,3.54969E+17
1633,0.23275,3.5516E+17
1634,0.232125,3.55351E+17
1635,0.233125,3.55543E+17
1636,0.233625,3.55735E+17
1637,0.22625,3.55921E+17
1638,0.22,3.56103E+17
1639,0.21925,3.56283E+17
1640,0.216125,3.56462E+17
1641,0.218625,3.56642E+17
1642,0.21925,3.56823E+17
1643,0.216625,3.57002E+17
1644,0.221375,3.57185E+17
1645,0.2185,3.57366E+17
1646,0.218375,3.57547E+17
1647,0.224375,3.57733E+17
1648,0.217625,3.57913E+17
1649,0.218625,3.58095E+17
1650,0.222,3.58279E+17
1651,0.212,3.58455E+17
1652,0.221,3.58639E+17
1653,0.22125,3.58823E+17
1654,0.21675,3.59003E+17
1655,0.220875,3.59187E+17
1656,0.2205,3.59371E+17
1657,0.222,3.59556E+17
1658,0.223375,3.59742E+17
1659,0.221625,3.59927E+17
1660,0.22275,3.60113E+17
1661,0.222375,3.60299E+17
1662,0.219125,3.60482E+17
1663,0.22125,3.60667E+17
1664,0.219125,3.60851E+17
1665,0.208,3.61025E+17
1666,0.186125,3.61181E+17
1667,0.2065,3.61354E+17
1668,0.213625,3.61534E+17
1669,0.215625,3.61715E+17
1670,0.219875,3.61899E+17
1671,0.2175,3.62082E+17
1672,0.2125,3.62261E+17
1673,0.21525,3.62442E+17
1674,0.214875,3.62623E+17
1675,0.213,3.62803E+17
1676,0.211375,3.62981E+17
1677,0.2115,3.63159E+17
1678,0.20975,3.63336E+17
1679,0.21075,3.63514E+17
1680,0.2045,3.63687E+17
1681,0.1965,3.63853E+17
1682,0.202625,3.64025E+17
1683,0.20675,3.642E+17
1684,0.2005,3.6437E+17
1685,0.210625,3.64548E+17
1686,0.209625,3.64726E+17
1687,0.2055,3.64901E+17
1688,0.208875,3.65078E+17
1689,0.207125,3.65254E+17
1690,0.20375,3.65427E+17
1691,0.19625,3.65594E+17
1692,0.20575,3.65769E+17
1693,0.209625,3.65948E+17
1694,0.2055,3.66123E+17
1695,0.208375,3.66301E+17
1696,0.2055,3.66476E+17
1697,0.18775,3.66636E+17
1698,0.2035,3.6681E+17
1699,0.2045,3.66985E+17
1700,0.2,3.67156E+17
1701,0.201,3.67328E+17
1702,0.2025,3.67501E+17
1703,0.201,3.67674E+17
1704,0.199,3.67844E+17
1705,0.197,3.68013E+17
1706,0.195,3.68181E+17
1707,0.193,3.68346E+17
1708,0.191,3.6851E+17
1709,0.189,3.68673E+17
1710,0.1873,3.68834E+17
1711,0.1874,3.68995E+17
1712,0.1878,3.69157E+17
1713,0.1882,3.69319E+17
1714,0.1886,3.69482E+17
1715,0.188875,3.69645E+17
1716,0.1884,3.69808E+17
1717,0.1878,3.6997E+17
1718,0.1872,3.70132E+17
1719,0.1866,3.70293E+17
1720,0.185875,3.70454E+17
1721,0.1844,3.70613E+17
1722,0.1828,3.70772E+17
1723,0.1812,3.70929E+17
1724,0.1796,3.71085E+17
1725,0.1781,3.71239E+17
1726,0.1772,3.71393E+17
1727,0.1764,3.71546E+17
1728,0.1756,3.71699E+17
1729,0.1748,3.71851E+17
1730,0.173775,3.72002E+17
1731,0.1714,3.72152E+17
1732,0.1688,3.72299E+17
1733,0.1662,3.72444E+17
1734,0.1636,3.72586E+17
1735,0.1615,3.72727E+17
1736,0.1624,3.72869E+17
1737,0.1638,3.73012E+17
1738,0.1652,3.73157E+17
1739,0.1666,3.73302E+17
1740,0.167475,3.73449E+17
1741,0.1652,3.73594E+17
1742,0.1624,3.73736E+17
1743,0.1596,3.73876E+17
1744,0.1568,3.74014E+17
1745,0.154625,3.74149E+17
1746,0.1562,3.74287E+17
